id,source_id,fragment_type,text_excerpt,structured_payload,effect_direction,strength_score,extraction_method,extraction_confidence,date_extracted,notes
EVD-000056,SRC-000056,result,"To examine the efficacy of pharmacological treatments for restricted and repetitive behaviors (RRB) in autism spectrum disorders (ASD). We searched PubMed, Embase, and CENTRAL to identify all double-blind, randomized, placebo-controlled trials that examined the efficacy of pharmacological agents in the treatment of ASD and measured RRB as an outcome. Our primary outcome was the standardized mean difference in rating scales of RRB. We identified 64 randomized, placebo-controlled trials involving ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000057,SRC-000057,result,"Folate compounds are crucial for DNA and RNA synthesis, homocysteine regulation, and epigenetic methylation. However, significant differences exist between 5-methyltetrahydrofolate (5-MTHF) and folinic acid (CHO-THF) -and synthetic folic acid (sFA). Understanding their absorption, bioavailability, and clinical effects is essential, especially for women planning pregnancy, pregnant women, and patients with MTHFR or DHFR polymorphisms, autism spectrum disorders, or other folate-related conditions.","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000058,SRC-000058,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000059,SRC-000059,result,"A diagnosis of autism spectrum disorders (ASD) represents presentations with impairment in communication and behaviour that vary considerably in their clinical manifestations and etiology as well as in their likely pathophysiology. A growing body of data indicates that the deleterious effect of oxidative stress, mitochondrial dysfunction, immune dysregulation and neuroinflammation, as well as their interconnections are important aspects of the pathophysiology of ASD. Glutathione deficiency decre","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000060,SRC-000060,result,"Sulforaphane is an isothiocyanate occurring in stored form as glucoraphanin in cruciferous vegetables such as cabbage, cauliflower, and kale, and at high levels in broccoli especially in broccoli sprouts. Glucoraphanin requires the plant enzyme myrosinase for converting it into sulforaphane. Sulforaphane is metabolized through mercapturic acid pathway, being conjugated with glutathione and undergoes further biotransformation, yielding metabolites. Sulforaphane is extensively investigated and is ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000061,SRC-000061,result,"Sulforaphane (SF), an isothiocyanate in broccoli, has potential benefits relevant to autism spectrum disorder (ASD) through its effects on several metabolic and immunologic pathways. Previous clinical trials of oral SF demonstrated positive clinical effects on behavior in young men and changes in urinary metabolomics in children with ASD. We conducted a 15-week randomized parallel double-blind placebo-controlled clinical trial with 15-week open-label treatment and 6-week no-treatment extensions ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000062,SRC-000062,result,"Autistic spectrum disorder (ASD) is a complicated developmental disease characterized by persistent difficulties in social interaction, speech and nonverbal communication, and restricted/ repetitive activities. Our goal is to deliver a step ahead awareness on neurodevelopment in ASD through early behavioral screenings, genetic testing, and detection of various environmental triggers. This would significantly reduce the tally of people with autistic characteristics. As of now, much work is to be ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000063,SRC-000063,result,"Autism spectrum disorder (ASD) is a complex neurodevelopmental disorder lacking effective treatments. This systematic review and meta-analysis assesses the efficacy and safety of sulforaphane (SFN) for ASD. Eight databases were searched from inception to September 2024, identifying six randomized controlled trials for inclusion. Efficacy outcomes included ASD symptoms measured by the mean difference (MD) or standardized mean difference (SMD), while safety outcomes included adverse events measure","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000064,SRC-000064,result,"Autism spectrum disorder (ASD) has become an increasingly prominent global health issue. Sulforaphane is a phytochemical with multiple functions that target many of the same biochemical and molecular pathways (biomarkers) associated with ASD. This study aimed to conduct a meta-analysis based on sulforaphane's effect on Aberrant Behavior Checklist (ABC) and Social Responsiveness Scale (SRS) in patients with ASD. We conducted comprehensive searches in the PubMed, Medline, Cochrane, EMBASE, and Web","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000065,SRC-000065,result,"Sulforaphane, a natural antioxidant rich in cruciferous vegetables, has emerged as a promising dietary supplement for autism spectrum disorder (ASD). However, its therapeutic efficacy remains controversial, and the pharmacological mechanisms are not fully elucidated. Eligible randomized controlled trials were retrieved from PubMed, Web of Science, Embase, and Cochrane Library databases. Review Manager 5.4 was used for meta-analysis and bias risk assessment. Network pharmacology, Mendelian random","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000066,SRC-000066,result,"Sulforaphane (SFN) has been found to alleviate complications linked with several diseases by regulating gut microbiota (GM), while the effect of GM on SFN for autism spectrum disorders (ASD) has not been studied. Therefore, this study aimed to investigate the relationship between the effects of SFN on childhood ASD and GM through animal model and human studies. We evaluated the therapeutic effects of SFN on maternal immune activation (MIA) induced ASD-like rat model and pediatric autism patients","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000067,SRC-000067,result,"Autism spectrum disorder (ASD) appears in early childhood and is characterized by persistent deficits in communication and social interaction, as well as restricted interests, repetitive behaviors, and unusual sensory issues. ASD can be idiopathic or syndromic, in the latter case representing one of the many manifestations of a genetic disorder, such as Rett syndrome. Psychopharmacology cannot directly ameliorate core autistic symptoms, but rather aims at treating comorbid disorders, such as ADH","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000068,SRC-000068,result,"Sulforaphane (SFN) is a phytochemical found in cruciferous vegetables. It has been shown to have many protective effects against many diseases, including multiple types of cancer. SFN is a potent activator of the nuclear factor erythroid 2-related factor 2 (Nrf2) antioxidant response element (ARE) genetic pathway. Upregulation of Nrf2-ARE increases the availability of multiple antioxidants. A substantial amount of preclinical research regarding the ability of SFN to protect the nervous system fr","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000069,SRC-000069,result,"Autism is a neurodevelopmental disease which is characterized by its core behavioral symptoms such as impairment in social interaction and stereotyped repetitive behavior. Th17 immune responses and oxidative stress are reported to be elevated in both human autistic subjects and BTBR T + Itpr3tf/J (BTBR) mice. On the other hand, activation of nuclear factor erythroid 2 related factor (Nrf2), a master transcription factor is essential for the management of anti-inflammatory and antioxidant genes. ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000070,SRC-000070,result,"Sulforaphane (SFN), a bioactive compound derived from glucoraphanin in cruciferous vegetables such as broccoli, has been extensively studied for its therapeutic potential across diverse disease categories. SFN exerts its effects through well-characterised pathways, including the Keap1/Nrf2 axis, which regulates phase II detoxification enzymes, and epigenetic mechanisms such as histone deacetylase inhibition. This review evaluates clinical trials registered on ClinicalTrials.gov, focusing on thos","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000071,SRC-000071,result,"Sulforaphane, a potent dietary bioactive agent obtainable from cruciferous vegetables, has been extensively studied for its effects in disease prevention and therapy. Sulforaphane potently induces transcription factor nuclear factor erythroid 2-related factor 2 (Nrf2)-mediated expression of detoxification, anti-oxidation, and immune system-modulating enzymes, and possibly acts as an anti-carcinogenic agent. Several clinical trials are in progress to study the effect of diverse types of crucifero","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000072,SRC-000072,result,"Current clinical management of major mental disorders, such as autism spectrum disorder, depression and schizophrenia, is less than optimal. Recent scientific advances have indicated that deficits in oxidative and inflammation systems are extensively involved in the pathogenesis of these disorders. These findings have led to expanded considerations for treatment. Sulforaphane (SFN) is a dietary phytochemical extracted from cruciferous vegetables. It is an effective activator of the transcription","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000073,SRC-000073,result,"Early diagnosis and treatment for autism spectrum disorder (ASD) pose challenges. The current diagnostic approach for ASD is mainly clinical assessment of patient behaviors. Biomarkers-based identification of ASD would be useful for pediatricians. Currently, there is no specific treatment for ASD, and evidence for the efficacy of alternative treatments remains inconclusive. The prevalence of ASD is increasing, and it is becoming more urgent to find the pathogenesis of such disorder. Metabolomic ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000074,SRC-000074,result,"The brain accounts for about 2% of the body's weight, but it consumes about 20% of the body's energy at rest, primarily derived from ATP produced in mitochondria. The brain thus has a high mitochondrial density in its neurons because of its extensive energy demands for maintaining ion gradients, neurotransmission, and synaptic activity. The brain is also extremely susceptible to damage and dysregulation caused by inflammation (neuroinflammation) and oxidative stress. Many systemic challenges to ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000075,SRC-000075,result,"Autism Spectrum Disorder (ASD) is defined as a neurodevelopmental condition characterized by social communication impairment, delayed development, social function deficit, and repetitive behaviors. The Center for Disease Control reports an increase in ASD diagnosis rates every year. This systematic review evaluated the use of sulforaphane (SFN) therapy as a potential treatment option for individuals with ASD. PubMed.gov, PubMed Central, Natural Medicines, BoardVitals, Google Scholar and Medline ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
